pert_id,pert_iname,mCS_homo,mCS_hetero,target_organ,OrganScore,efficacy_z,specificity,GSE92742,GSE70138,robustness,composite_score,rank
BRD-A52530684,doxorubicin,,-0.14540329739752528,stomach,0.14540329739752528,8.739628431293054,0.14260666813058323,-0.13759861183496191,,0.5,3.6886333729563967,2
BRD-K81258678,triptolide,,-0.1392113667062842,stomach,0.1392113667062842,8.360156880466175,0.13641473743934215,,-0.13778046131943156,0.5,3.5349871734182727,3
BRD-A73909368,dactinomycin,,-0.13575869315905328,stomach,0.13575869315905328,8.148560296008274,0.13296206389211124,-0.12734009630145166,,0.5,3.449312737570943,4
BRD-K43389675,daunorubicin,,-0.13508283413294508,stomach,0.13508283413294508,8.107140376185784,0.13228620486600304,-0.1226276625521109,,0.5,3.4325420119341143,5
BRD-K11927976,ER-27319,,-0.13297966839112071,stomach,0.13297966839112071,7.978248176726088,0.13018303912417867,-0.1136629110803617,,0.5,3.3803541824276886,6
BRD-K01896723,BRD-K01896723,,-0.13289646052409027,stomach,0.13289646052409027,7.973148794979502,0.13009983125714822,-0.12298001722826504,,0.5,3.3782894673689454,7
BRD-K72238567,fludarabine,,-0.12937038347170932,stomach,0.12937038347170932,7.757053687633609,0.12657375420476727,-0.1207201735348932,,0.5,3.2907936013148738,8
BRD-K79090631,CGP-60474,,-0.12929749735098633,stomach,0.12929749735098633,7.752586872573222,0.1265008680840443,-0.137657139479527,,0.5,3.288985009454502,9
BRD-K06543683,bisindolylmaleimide-ix,,-0.1269244978510778,stomach,0.1269244978510778,7.607157951410472,0.12412786858413573,-0.128631513469292,,0.5,3.2301015411394296,10
BRD-A11702965,chromomycin-a3,,-0.12539510989122798,stomach,0.12539510989122798,7.513429637919961,0.12259848062428592,-0.1296668390883101,,0.5,3.19215139935527,11
BRD-K69650333,idarubicin,,-0.12492839674487892,stomach,0.12492839674487892,7.484827192209949,0.12213176747793686,-0.12622357025396097,,0.5,3.1805704071273606,12
BRD-K70578146,dactinomycin,,-0.12462012095932044,stomach,0.12462012095932044,7.465934556574714,0.12182349169237838,-0.1321800260941566,,0.5,3.1729208701375993,13
